Tournament,startDate,endDate,prizeMoney,prizeMoneyCurrency
ATP Cup,2020/01/03,2020/01/12,"15,000,000",USD
Qatar ExxonMobil Open,2020/01/06,2020/01/11,"1,465,260",USD
Adelaide International,2020/01/12,2020/01/18,"610,010",USD
ASB Classic,2020/01/13,2020/01/18,"610,010",USD
Australian Open,2020/01/20,2020/02/03,"32,505,000",AUD
Cordoba Open,2020/02/03,2020/02/09,"610,010",USD
Tata Open Maharashtra,2020/02/03,2020/02/09,"610,010",USD
Open Sud de France,2020/02/03,2020/02/09,"606,350",EUR
ABN AMRO World Tennis Tournament,2020/02/10,2020/02/16,"2,155,295",EUR
New York Open,2020/02/10,2020/02/16,"804,180",USD
Argentina Open,2020/02/10,2020/02/16,"696,280",USD
Rio Open presented by Claro,2020/02/17,2020/02/23,"1,915,485",USD
Open 13 Provence,2020/02/17,2020/02/23,"769,670",EUR
Delray Beach Open by VITACOST.com,2020/02/17,2020/02/23,"673,655",USD
Dubai Duty Free Tennis Championships,2020/02/24,2020/02/29,"2,950,420",USD
Abierto Mexicano Telcel presentado por HSBC,2020/02/24,2020/02/29,"2,000,845",USD
Chile Dove Men+Care Open,2020/02/24,2020/03/01,"674,730",USD
Davis Cup Qualifiers,2020/03/06,2020/03/07,0,USD
BNP Paribas Open (Suspended),2020/03/12,2020/03/22,"9,735,685",USD
Miami Open presented by Itau (Suspended),2020/03/25,2020/04/05,"9,735,685",USD
Fayez Sarofim & Co. U.S. Men's Clay Court Championship (Suspended),2020/04/06,2020/04/12,"674,730",USD
Grand Prix Hassan II (Suspended),2020/04/06,2020/04/12,"606,350",EUR
Rolex Monte-Carlo Masters (Suspended),2020/04/12,2020/04/19,"5,961,830",EUR
Barcelona Open Banc Sabadell (Suspended),2020/04/20,2020/04/26,"2,803,265",EUR
Hungarian Open (Suspended),2020/04/20,2020/04/26,"606,350",EUR
BMW Open by FWU (Suspended),2020/04/27,2020/05/03,"606,350",EUR
Millennium Estoril Open (Suspended),2020/04/27,2020/05/03,"606,350",EUR
Mutua Madrid Open (Suspended),2020/05/03,2020/05/10,"7,659,165",EUR
Internazionali BNL d'Italia (Suspended),2020/05/10,2020/05/17,"6,168,080",EUR
Geneva Open (Suspended),2020/05/17,2020/05/23,"606,350",EUR
Open Parc Auvergne-Rhone-Alpes Lyon (Suspended),2020/05/17,2020/05/23,"606,350",EUR
Roland Garros (Suspended),2020/05/24,2020/06/07,0,USD
MercedesCup (Suspended),2020/06/08,2020/06/14,"780,570",EUR
Libema Open (Suspended),2020/06/08,2020/06/14,"735,790",EUR
Fever-Tree Championships (Suspended),2020/06/15,2020/06/21,"2,275,960",EUR
NOVENTI OPEN (Suspended),2020/06/15,2020/06/21,"2,275,960",EUR
Mallorca Championships (Suspended),2020/06/21,2020/06/27,"963,655",USD
Nature Valley International (Suspended),2020/06/22,2020/06/27,"771,680",EUR
Wimbledon (Suspended),2020/06/29,2020/07/12,0,USD
Hamburg European Open,2020/07/13,2020/07/19,"1,912,305",EUR
Hall of Fame Open,2020/07/13,2020/07/19,"674,730",USD
Nordea Open,2020/07/13,2020/07/19,"606,350",EUR
Davis Cup Group II,2020/07/17,2020/07/18,0,USD
Abierto de Tenis Mifel presentado por Cinemex,2020/07/20,2020/07/25,"933,625",USD
J. Safra Sarasin Swiss Open Gstaad,2020/07/20,2020/07/26,"606,350",EUR
Plava Laguna Croatia Open Umag,2020/07/20,2020/07/26,"606,350",EUR
Tokyo Olympic Games,2020/07/25,2020/08/02,0,USD
BB&T Atlanta Open presented by First Data,2020/07/27,2020/08/02,"804,180",USD
Generali Open,2020/07/27,2020/08/01,"606,350",EUR
Citi Open,2020/08/02,2020/08/09,"2,108,865",USD
Rogers Cup,2020/08/10,2020/08/16,"6,753,510",USD
Western & Southern Open,2020/08/16,2020/08/23,"7,151,135",USD
Winston-Salem Open,2020/08/23,2020/08/29,"835,020",USD
US Open,2020/08/31,2020/09/13,0,USD
Davis Cup Groups I and II,2020/09/18,2020/09/19,0,USD
St. Petersburg Open,2020/09/21,2020/09/27,"1,314,510",USD
Moselle Open,2020/09/21,2020/09/27,"606,350",EUR
Laver Cup (Suspended),2020/09/25,2020/09/27,0,USD
Chengdu Open,2020/09/28,2020/10/04,"1,255,180",USD
Huajin Securities Zhuhai Championships,2020/09/28,2020/10/04,"1,034,655",USD
Sofia Open,2020/09/28,2020/10/04,"606,350",EUR
China Open,2020/10/05,2020/10/11,"3,728,800",USD
Rakuten Japan Open Tennis Championships,2020/10/05,2020/10/11,"2,108,865",USD
Rolex Shanghai Masters,2020/10/11,2020/10/18,"8,741,630",USD
VTB Kremlin Cup,2020/10/19,2020/10/25,"1,056,955",USD
European Open,2020/10/19,2020/10/25,"735,790",EUR
Stockholm Open,2020/10/19,2020/10/25,"735,790",EUR
Erste Bank Open,2020/10/26,2020/11/01,"2,490,620",EUR
Swiss Indoors Basel,2020/10/26,2020/11/01,"2,276,790",EUR
Rolex Paris Masters,2020/11/02,2020/11/08,"6,168,080",EUR
Next Gen ATP Finals,2020/11/10,2020/11/14,0,USD
Nitto ATP Finals,2020/11/15,2020/11/22,0,USD
Davis Cup Finals,2020/11/23,2020/11/29,0,USD
