tournamentGroup,year,title,startDate,endDate,surface,inOutdoor,city,country,singlesDrawSize,doublesDrawSize,prizeMoney,prizeMoneyCurrency,liveScoringId
"{'id': 1063, 'name': 'SHENZHEN', 'level': 'International', 'metadata': None}",2020,Shenzhen Open - China,05/01/2020,11/01/2020,Hard,O,SHENZHEN,CHINA,32,16,651750,USD,1063
"{'id': 1049, 'name': 'AUCKLAND', 'level': 'International', 'metadata': None}",2020,"ASB Classic 2020 - Auckland, New Zealand",06/01/2020,12/01/2020,Hard,O,AUCKLAND,NEW ZEALAND,32,16,251750,USD,1049
"{'id': 800, 'name': 'BRISBANE', 'level': 'Premier', 'metadata': None}",2020,"Brisbane International - Brisbane, Australia",06/01/2020,12/01/2020,Hard,O,BRISBANE,AUSTRALIA,32,16,1434900,USD,800
"{'id': 1050, 'name': 'HOBART', 'level': 'International', 'metadata': None}",2020,"Hobart International - Hobart, Australia",13/01/2020,18/01/2020,Hard,O,HOBART,AUSTRALIA,32,16,251750,USD,1050
"{'id': 2014, 'name': 'ADELAIDE', 'level': 'Premier', 'metadata': None}",2020,"Adelaide International - Adelaide, Australia",13/01/2020,18/01/2020,Hard,O,ADELAIDE,AUSTRALIA,32,16,782900,USD,M056
"{'id': 901, 'name': 'AUSTRALIAN OPEN', 'level': 'Grand Slam', 'metadata': None}",2020,"Australian Open - Melbourne, Australia",20/01/2020,02/02/2020,Hard,O,MELBOURNE,AUSTRALIA,128,64,22756069,USD,M044
"{'id': 1102, 'name': 'NEWPORT BEACH', 'level': '125K', 'metadata': None}",2020,"Oracle Challenger Series - Newport Beach, CA, USA",27/01/2020,02/02/2020,Hard,O,NEWPORT BEACH,UNITED STATES,64,16,162480,USD,1102
"{'id': 1086, 'name': 'ST. PETERSBURG', 'level': 'Premier', 'metadata': None}",2020,"St. Petersburg Ladies Trophy - St. Petersburg, Russia",10/02/2020,16/02/2020,Hard,I,ST. PETERSBURG,RUSSIA,32,16,782900,USD,1086
"{'id': 1096, 'name': 'HUA HIN', 'level': 'International', 'metadata': None}",2020,"GSB Thailand Open presented by E@ - Hua Hin, THA",10/02/2020,16/02/2020,Hard,O,HUA HIN,THAILAND,32,16,251750,USD,1096
"{'id': 718, 'name': 'DUBAI', 'level': 'Premier', 'metadata': None}",2020,"Dubai Duty Free Tennis Championships - Dubai, UAE",17/02/2020,22/02/2020,Hard,O,DUBAI,UNITED ARAB EMIRATES,32,32,2643670,USD,718
"{'id': 1003, 'name': 'DOHA', 'level': 'Premier 5', 'metadata': None}",2020,"Qatar Total Open 2020 - Doha, Qatar",23/02/2020,29/02/2020,Hard,O,DOHA,QATAR,64,32,2939695,USD,1003
"{'id': 1002, 'name': 'ACAPULCO', 'level': 'International', 'metadata': None}",2020,"Abierto Mexicano TELCEL presentado por HSBC - Acapulco, Mexico",24/02/2020,29/02/2020,Hard,O,ACAPULCO,MEXICO,32,16,251750,USD,M004
"{'id': 1039, 'name': 'MONTERREY', 'level': 'International', 'metadata': None}",2020,"Abierto GNP Seguros - Monterrey, Mexico",02/03/2020,08/03/2020,Hard,O,MONTERREY,MEXICO,32,16,251750,USD,1039
"{'id': 2011, 'name': 'LYON', 'level': 'International', 'metadata': None}",2020,"Open 6ème Sens – Métropole de Lyon, France",02/03/2020,08/03/2020,Hard,I,LYON,FRANCE,32,16,251750,USD,2011
"{'id': 1103, 'name': 'INDIAN WELLS 125K', 'level': '125K', 'metadata': None}",2020,"Oracle Challenger Series - Indian Wells, CA, USA",02/03/2020,08/03/2020,Hard,O,INDIAN WELLS,UNITED STATES,64,16,162480,USD,1103
