"Tournament.ID","Best.of","Court","Location","Tier","Surface","Tournament","Type","AvgPts","AvgRank","NumRounds","MinPoints","MinRank"
1,3,"Outdoor","Brisbane","ATP250","Hard","Brisbane International","ATP",1206,83,5,200,240
2,3,"Outdoor","Doha","ATP250","Hard","Qatar Exxon Mobil Open","ATP",1833,51,5,183,249
3,3,"Outdoor","Pune","ATP250","Hard","Maharashtra Open","ATP",1099,86,5,37,392
4,3,"Outdoor","Auckland","ATP250","Hard","ASB Classic","ATP",970,69,5,56,360
5,3,"Outdoor","Sydney","ATP250","Hard","Sydney International","ATP",1017,55,5,206,238
6,5,"Outdoor","Melbourne","Grand Slam","Hard","Australian Open","ATP",1788,60,7,90,321
7,3,"Outdoor","Cordoba","ATP250","Clay","Cordoba Open","ATP",726,99,5,19,451
8,3,"Indoor","Montpellier","ATP250","Hard","Open Sud de France","ATP",729,95,5,100,311
9,3,"Indoor","Sofia","ATP250","Hard","Sofia Open","ATP",1130,60,5,76,336
10,3,"Outdoor","Buenos Aires","ATP250","Clay","Argentina Open","ATP",1079,69,5,233,220
11,3,"Indoor","New York","ATP250","Hard","New York Open","ATP",761,94,5,339,166
12,3,"Indoor","Rotterdam","ATP500","Hard","ABN AMRO World Tennis Tournament","ATP",1356,54,5,63,351
13,3,"Outdoor","Delray Beach","ATP250","Hard","Delray Beach Open","ATP",1055,80,5,267,189
14,3,"Indoor","Marseille","ATP250","Hard","Open 13","ATP",976,77,5,148,283
15,3,"Outdoor","Rio de Janeiro","ATP500","Clay","Rio Open","ATP",768,87,5,19,445
16,3,"Outdoor","Acapulco","ATP500","Hard","Abierto Mexicano","ATP",1703,65,5,7,552
17,3,"Outdoor","Dubai ","ATP500","Hard","Dubai Tennis Championships","ATP",1683,51,5,233,218
18,3,"Indoor","Sao Paulo","ATP250","Clay","Brasil Open","ATP",665,104,5,19,449
19,3,"Outdoor","Indian Wells","Masters 1000","Hard","BNP Paribas Open","ATP",1661,58,7,233,217
20,3,"Outdoor","Miami","Masters 1000","Hard","Sony Ericsson Open","ATP",1528,61,7,17,453
21,3,"Outdoor","Houston","ATP250","Clay","U.S. Men's Clay Court Championships","ATP",582,121,5,47,372
22,3,"Outdoor","Marrakech","ATP250","Clay","Grand Prix Hassan II","ATP",974,74,5,299,177
23,3,"Outdoor","Monte Carlo","Masters 1000","Clay","Monte Carlo Masters","ATP",2035,41,6,7,554
24,3,"Outdoor","Barcelona","ATP500","Clay","Open Banco Sabadell ","ATP",1737,54,6,152,276
25,3,"Outdoor","Budapest","ATP250","Clay","Hungarian Open","ATP",888,88,5,91,323
26,3,"Outdoor","Estoril","ATP250","Clay","Millennium Estoril Open","ATP",1021,73,5,237,214
27,3,"Outdoor","Munich","ATP250","Clay","BMW Open","ATP",1237,54,5,344,157
28,3,"Outdoor","Madrid","Masters 1000","Clay","Mutua Madrid Open","ATP",2547,32,6,400,144
29,3,"Outdoor","Rome","Masters 1000","Clay","Internazionali BNL d'Italia","ATP",2537,37,6,28,416
30,3,"Outdoor","Geneva","ATP250","Clay","Geneva Open","ATP",974,80,5,95,317
31,3,"Outdoor","Lyon","ATP250","Clay","Lyon Open","ATP",941,73,5,153,270
32,5,"Outdoor","Paris","Grand Slam","Clay","French Open","ATP",1873,62,7,111,304
33,3,"Outdoor","'s-Hertogenbosch","ATP250","Grass","Rosmalen Grass Court Championships","ATP",1060,61,5,220,224
34,3,"Outdoor","Stuttgart","ATP250","Grass","Mercedes Cup","ATP",1222,55,5,259,205
35,3,"Outdoor","Halle","ATP500","Grass","Halle Open","ATP",1814,45,5,222,223
36,3,"Outdoor","Queens Club","ATP500","Grass","Queen's Club Championships","ATP",1492,51,5,235,212
37,3,"Outdoor","Antalya","ATP250","Grass","Antalya Open","ATP",611,127,5,6,566
38,3,"Outdoor","Eastbourne","ATP250","Grass","Eastbourne International","ATP",919,68,5,15,472
39,5,"Outdoor","London","Grand Slam","Grass","Wimbledon","ATP",1783,63,7,10,518
40,3,"Outdoor","Bastad","ATP250","Clay","SkiStar Swedish Open","ATP",696,91,5,196,235
41,3,"Outdoor","Newport","ATP250","Grass","Hall of Fame Championships","ATP",669,105,5,213,224
42,3,"Outdoor","Umag","ATP250","Clay","Croatia Open","ATP",673,122,5,20,453
43,3,"Outdoor","Atlanta","ATP250","Hard","BB&T Atlanta Open","ATP",856,81,5,34,405
44,3,"Outdoor","Gstaad","ATP250","Clay","Suisse Open Gstaad","ATP",631,139,5,20,455
45,3,"Outdoor","Hamburg","ATP500","Clay","German Tennis Championships","ATP",1392,68,5,30,415
46,3,"Outdoor","Kitzbuhel","ATP250","Clay","Generali Open","ATP",1036,87,5,82,326
47,3,"Outdoor","Los Cabos","ATP250","Hard","Abierto Mexicano Mifel","ATP",926,87,5,13,492
48,3,"Outdoor","Washington","ATP500","Hard","Citi Open","ATP",1142,73,6,135,281
49,3,"Outdoor","Montreal","Masters 1000","Hard","Rogers Masters","ATP",1988,37,6,242,205
50,3,"Outdoor","Cincinnati","Masters 1000","Hard","Western & Southern Financial Group Masters","ATP",2000,38,6,120,324
