"Location","Tournament","Type.x","Tournament.ID","Best.of","Court","Tier","Surface","AvgPts","AvgRank","NumRounds","MinPoints","MinRank","startDate","endDate","prizeMoney","prizeMoneyCurrency","city","lat","lng","country","population"
"'s-Hertogenbosch","Rosmalen Grass Court Championships","WTA",94,3,"Outdoor","International","Grass",1186,85,5,266,214,2020-06-08,2020-06-14,251750,"USD","’s-Hertogenbosch",51.6833,5.3167,"Netherlands",134520
"'s-Hertogenbosch","Rosmalen Grass Court Championships","ATP",33,3,"Outdoor","ATP250","Grass",1060,61,5,220,224,2020-06-08,2020-06-14,735790,"EUR","’s-Hertogenbosch",51.6833,5.3167,"Netherlands",134520
"Antwerp","European Open","ATP",60,3,"Indoor","ATP250","Hard",923,83,5,192,243,2020-10-19,2020-10-25,735790,"EUR","Antwerp",51.2204,4.415,"Belgium",920000
"Atlanta","BB&T Atlanta Open","ATP",43,3,"Outdoor","ATP250","Hard",856,81,5,34,405,2020-07-27,2020-08-02,804180,"USD","Atlanta",33.7627,-84.4225,"United States",5228750
"Auckland","ASB Classic","ATP",4,3,"Outdoor","ATP250","Hard",970,69,5,56,360,2020-01-13,2020-01-18,610010,"USD","Auckland",-36.8481,174.763,"New Zealand",1377200
"Auckland","ASB Classic","WTA",67,3,"Outdoor","International","Hard",1258,74,5,308,190,2020-01-06,2020-01-12,251750,"USD","Auckland",-36.8481,174.763,"New Zealand",1377200
"Barcelona","Open Banco Sabadell ","ATP",24,3,"Outdoor","ATP500","Clay",1737,54,6,152,276,2020-04-20,2020-04-26,2803265,"EUR","Barcelona",41.3833,2.1834,"Spain",4920000
"Basel","Swiss Indoors","ATP",63,3,"Indoor","ATP500","Hard",1973,36,5,500,112,2020-10-26,2020-11-01,2276790,"EUR","Basel",47.5804,7.59,"Switzerland",830000
"Beijing","China Open","ATP",57,3,"Outdoor","ATP500","Hard",2004,58,5,57,503,2020-10-05,2020-10-11,3728800,"USD","Beijing",39.9289,116.3883,"China",11106000
"Beijing","China Open","WTA",118,3,"Outdoor","Premier","Hard",2507,33,6,379,162,2020-10-03,2020-10-11,0,"USD","Beijing",39.9289,116.3883,"China",11106000
"Bogota","Copa Claro Colsanitas","WTA",83,3,"Outdoor","International","Clay",480,163,5,30,574,NA,NA,NA,NA,"Bogotá",4.5964,-74.0833,"Colombia",7772000
"Brisbane","Brisbane International","ATP",1,3,"Outdoor","ATP250","Hard",1206,83,5,200,240,2020-01-03,2020-01-12,15000000,"USD","Brisbane",-27.455,153.0351,"Australia",1860000
"Brisbane","Brisbane International","WTA",68,3,"Outdoor","Premier","Hard",2495,41,5,170,283,2020-01-06,2020-01-12,1434900,"USD","Brisbane",-27.455,153.0351,"Australia",1860000
"Bucharest","Bucharest Open","WTA",100,3,"Outdoor","International","Clay",637,129,5,175,284,2020-07-13,2020-07-19,251750,"USD","Bucharest",44.4334,26.0999,"Romania",1942000
"Budapest","Hungarian Open","ATP",25,3,"Outdoor","ATP250","Clay",888,88,5,91,323,2020-04-20,2020-04-26,606350,"EUR","Budapest",47.5,19.0833,"Hungary",1679000
"Buenos Aires","Argentina Open","ATP",10,3,"Outdoor","ATP250","Clay",1079,69,5,233,220,2020-02-10,2020-02-16,696280,"USD","Buenos Aires",-34.6025,-58.3975,"Argentina",12795000
"Chengdu","Chengdu Open","ATP",55,3,"Outdoor","ATP250","Hard",957,70,5,205,234,2020-09-28,2020-10-04,1255180,"USD","Chengdu",30.67,104.07,"China",4123000
"Cincinnati","Western & Southern Financial Group Masters","ATP",50,3,"Outdoor","Masters 1000","Hard",2000,38,6,120,324,2020-08-16,2020-08-23,7151135,"USD","Cincinnati",39.1412,-84.506,"United States",1648254
"Cincinnati","Western & Southern Financial Group Women's Open","WTA",107,3,"Outdoor","Premier","Hard",2207,41,6,411,153,2020-08-17,2020-08-23,0,"USD","Cincinnati",39.1412,-84.506,"United States",1648254
"Cordoba","Cordoba Open","ATP",7,3,"Outdoor","ATP250","Clay",726,99,5,19,451,2020-02-03,2020-02-09,610010,"USD","Córdoba",-31.4,-64.1823,"Argentina",1452000
"Delray Beach","Delray Beach Open","ATP",13,3,"Outdoor","ATP250","Hard",1055,80,5,267,189,2020-02-17,2020-02-23,673655,"USD","Delray Beach",26.455,-80.0905,"United States",68749
"Doha","Qatar Total Open","WTA",75,3,"Outdoor","Premier","Hard",2402,45,5,71,429,2020-02-23,2020-02-29,2939695,"USD","Doha",25.2866,51.533,"Qatar",1450000
"Doha","Qatar Exxon Mobil Open","ATP",2,3,"Outdoor","ATP250","Hard",1833,51,5,183,249,2020-01-06,2020-01-11,1465260,"USD","Doha",25.2866,51.533,"Qatar",1450000
"Dubai","Dubai Duty Free Tennis Championships","WTA",77,3,"Outdoor","Premier","Hard",2034,49,6,80,406,2020-02-17,2020-02-22,2643670,"USD","Dubai",25.23,55.28,"United Arab Emirates",1379000
"Eastbourne","Eastbourne International","WTA",98,3,"Outdoor","Premier","Grass",1980,52,6,117,356,2020-06-21,2020-06-27,0,"USD","Eastbourne",50.768,0.2905,"",0
"Eastbourne","Eastbourne International","ATP",38,3,"Outdoor","ATP250","Grass",919,68,5,15,472,2020-06-22,2020-06-27,771680,"EUR","Eastbourne",50.768,0.2905,"",0
"Estoril","Millennium Estoril Open","ATP",26,3,"Outdoor","ATP250","Clay",1021,73,5,237,214,2020-04-27,2020-05-03,606350,"EUR","Estoril",38.7133,9.3937,"Portugal",0
"Geneva","Geneva Open","ATP",30,3,"Outdoor","ATP250","Clay",974,80,5,95,317,2020-05-17,2020-05-23,606350,"EUR","Geneva",46.21,6.14,"Switzerland",1240000
"Gstaad","Suisse Open Gstaad","ATP",44,3,"Outdoor","ATP250","Clay",631,139,5,20,455,2020-07-20,2020-07-26,606350,"EUR","Gstaad",46.4718,7.2866,"",0
"Halle","Halle Open","ATP",35,3,"Outdoor","ATP500","Grass",1814,45,5,222,223,2020-06-15,2020-06-21,2275960,"EUR","Halle",51.497,11.9688,"",0
"Hamburg","German Tennis Championships","ATP",45,3,"Outdoor","ATP500","Clay",1392,68,5,30,415,2020-07-13,2020-07-19,1912305,"EUR","Hamburg",53.55,10,"Germany",1757000
"Houston","U.S. Men's Clay Court Championships","ATP",21,3,"Outdoor","ATP250","Clay",582,121,5,47,372,2020-04-06,2020-04-12,674730,"USD","Houston",29.7869,-95.3905,"United States",5446468
"Indian Wells","BNP Paribas Open","ATP",19,3,"Outdoor","Masters 1000","Hard",1661,58,7,233,217,2020-03-12,2020-03-22,9735685,"USD","Indian Wells",33.7036,-116.3396,"United States",5404
"Indian Wells","BNP Paribas Open","WTA",79,3,"Outdoor","Premier","Hard",1869,53,7,232,238,2020-03-11,2020-03-22,8761725,"USD","Indian Wells",33.7036,-116.3396,"United States",5404
"Kitzbuhel","Generali Open","ATP",46,3,"Outdoor","ATP250","Clay",1036,87,5,82,326,2020-07-27,2020-08-01,606350,"EUR","Kitzbuhel",47.4492,12.3925,"Austria",0
"London","Masters Cup","ATP",66,3,"Indoor","Masters Cup","Hard",5412,4,3,2670,8,2020-11-15,2020-11-22,0,"USD","London",51.5,-0.1167,"United Kingdom",8567000
"London","Wimbledon","ATP",39,5,"Outdoor","Grand Slam","Grass",1783,63,7,10,518,2020-06-29,2020-07-12,0,"USD","London",51.5,-0.1167,"United Kingdom",8567000
"London","Wimbledon","WTA",99,3,"Outdoor","Grand Slam","Grass",1728,63,7,148,313,2020-06-29,2020-07-11,0,"USD","London",51.5,-0.1167,"United Kingdom",8567000
"Los Cabos","Abierto Mexicano Mifel","ATP",47,3,"Outdoor","ATP250","Hard",926,87,5,13,492,2020-07-20,2020-07-25,933625,"USD","Los Cabos",31.4834,100.4634,"",0
"Lyon","Lyon Open","ATP",31,3,"Outdoor","ATP250","Clay",941,73,5,153,270,2020-05-17,2020-05-23,606350,"EUR","Lyon",45.77,4.83,"France",1423000
"Madrid","Mutua Madrid Open","ATP",28,3,"Outdoor","Masters 1000","Clay",2547,32,6,400,144,2020-05-03,2020-05-10,7659165,"EUR","Madrid",40.4,-3.6834,"Spain",5567000
"Madrid","Mutua Madrid Open","WTA",89,3,"Outdoor","Premier","Clay",2490,36,6,161,292,2020-05-02,2020-05-09,8344977,"USD","Madrid",40.4,-3.6834,"Spain",5567000
"Marrakech","Grand Prix Hassan II","ATP",22,3,"Outdoor","ATP250","Clay",974,74,5,299,177,2020-04-06,2020-04-12,606350,"EUR","Marrakech",31.63,-8,"Morocco",872000
"Marseille","Open 13","ATP",14,3,"Indoor","ATP250","Hard",976,77,5,148,283,2020-02-17,2020-02-23,769670,"EUR","Marseille",43.29,5.375,"France",1400000
"Melbourne","Australian Open","ATP",6,5,"Outdoor","Grand Slam","Hard",1788,60,7,90,321,2020-01-20,2020-02-03,32505000,"AUD","Melbourne",-37.82,144.975,"Australia",4170000
"Melbourne","Australian Open","WTA",72,3,"Outdoor","Grand Slam","Hard",1934,61,7,33,551,2020-01-20,2020-02-02,22756069,"USD","Melbourne",-37.82,144.975,"Australia",4170000
