"Tournament","startDate","endDate","prizeMoney","prizeMoneyCurrency","Type"
"ATP Cup",2020-01-03,2020-01-12,15000000,"USD","ATP"
"Qatar ExxonMobil Open",2020-01-06,2020-01-11,1465260,"USD","ATP"
"Adelaide International",2020-01-12,2020-01-18,610010,"USD","ATP"
"ASB Classic",2020-01-13,2020-01-18,610010,"USD","ATP"
"Australian Open",2020-01-20,2020-02-03,32505000,"AUD","ATP"
"Cordoba Open",2020-02-03,2020-02-09,610010,"USD","ATP"
"Tata Open Maharashtra",2020-02-03,2020-02-09,610010,"USD","ATP"
"Open Sud de France",2020-02-03,2020-02-09,606350,"EUR","ATP"
"ABN AMRO World Tennis Tournament",2020-02-10,2020-02-16,2155295,"EUR","ATP"
"New York Open",2020-02-10,2020-02-16,804180,"USD","ATP"
"Argentina Open",2020-02-10,2020-02-16,696280,"USD","ATP"
"Rio Open presented by Claro",2020-02-17,2020-02-23,1915485,"USD","ATP"
"Open 13 Provence",2020-02-17,2020-02-23,769670,"EUR","ATP"
"Delray Beach Open by VITACOST.com",2020-02-17,2020-02-23,673655,"USD","ATP"
"Dubai Duty Free Tennis Championships",2020-02-24,2020-02-29,2950420,"USD","ATP"
"Abierto Mexicano Telcel presentado por HSBC",2020-02-24,2020-02-29,2000845,"USD","ATP"
"Chile Dove Men+Care Open",2020-02-24,2020-03-01,674730,"USD","ATP"
"Davis Cup Qualifiers",2020-03-06,2020-03-07,0,"USD","ATP"
"BNP Paribas Open (Suspended)",2020-03-12,2020-03-22,9735685,"USD","ATP"
"Miami Open presented by Itau (Suspended)",2020-03-25,2020-04-05,9735685,"USD","ATP"
"Fayez Sarofim & Co. U.S. Men's Clay Court Championship (Suspended)",2020-04-06,2020-04-12,674730,"USD","ATP"
"Grand Prix Hassan II (Suspended)",2020-04-06,2020-04-12,606350,"EUR","ATP"
"Rolex Monte-Carlo Masters (Suspended)",2020-04-12,2020-04-19,5961830,"EUR","ATP"
"Barcelona Open Banc Sabadell (Suspended)",2020-04-20,2020-04-26,2803265,"EUR","ATP"
"Hungarian Open (Suspended)",2020-04-20,2020-04-26,606350,"EUR","ATP"
"BMW Open by FWU (Suspended)",2020-04-27,2020-05-03,606350,"EUR","ATP"
"Millennium Estoril Open (Suspended)",2020-04-27,2020-05-03,606350,"EUR","ATP"
"Mutua Madrid Open (Suspended)",2020-05-03,2020-05-10,7659165,"EUR","ATP"
"Internazionali BNL d'Italia (Suspended)",2020-05-10,2020-05-17,6168080,"EUR","ATP"
"Geneva Open (Suspended)",2020-05-17,2020-05-23,606350,"EUR","ATP"
"Open Parc Auvergne-Rhone-Alpes Lyon (Suspended)",2020-05-17,2020-05-23,606350,"EUR","ATP"
"Roland Garros (Suspended)",2020-05-24,2020-06-07,0,"USD","ATP"
"MercedesCup (Suspended)",2020-06-08,2020-06-14,780570,"EUR","ATP"
"Libema Open (Suspended)",2020-06-08,2020-06-14,735790,"EUR","ATP"
"Fever-Tree Championships (Suspended)",2020-06-15,2020-06-21,2275960,"EUR","ATP"
"NOVENTI OPEN (Suspended)",2020-06-15,2020-06-21,2275960,"EUR","ATP"
"Mallorca Championships (Suspended)",2020-06-21,2020-06-27,963655,"USD","ATP"
"Nature Valley International (Suspended)",2020-06-22,2020-06-27,771680,"EUR","ATP"
"Wimbledon (Suspended)",2020-06-29,2020-07-12,0,"USD","ATP"
"Hamburg European Open",2020-07-13,2020-07-19,1912305,"EUR","ATP"
"Hall of Fame Open",2020-07-13,2020-07-19,674730,"USD","ATP"
"Nordea Open",2020-07-13,2020-07-19,606350,"EUR","ATP"
"Davis Cup Group II",2020-07-17,2020-07-18,0,"USD","ATP"
"Abierto de Tenis Mifel presentado por Cinemex",2020-07-20,2020-07-25,933625,"USD","ATP"
"J. Safra Sarasin Swiss Open Gstaad",2020-07-20,2020-07-26,606350,"EUR","ATP"
"Plava Laguna Croatia Open Umag",2020-07-20,2020-07-26,606350,"EUR","ATP"
"Tokyo Olympic Games",2020-07-25,2020-08-02,0,"USD","ATP"
"BB&T Atlanta Open presented by First Data",2020-07-27,2020-08-02,804180,"USD","ATP"
"Generali Open",2020-07-27,2020-08-01,606350,"EUR","ATP"
"Citi Open",2020-08-02,2020-08-09,2108865,"USD","ATP"
"Rogers Cup",2020-08-10,2020-08-16,6753510,"USD","ATP"
"Western & Southern Open",2020-08-16,2020-08-23,7151135,"USD","ATP"
"Winston-Salem Open",2020-08-23,2020-08-29,835020,"USD","ATP"
"US Open",2020-08-31,2020-09-13,0,"USD","ATP"
"Davis Cup Groups I and II",2020-09-18,2020-09-19,0,"USD","ATP"
"St. Petersburg Open",2020-09-21,2020-09-27,1314510,"USD","ATP"
"Moselle Open",2020-09-21,2020-09-27,606350,"EUR","ATP"
"Laver Cup (Suspended)",2020-09-25,2020-09-27,0,"USD","ATP"
"Chengdu Open",2020-09-28,2020-10-04,1255180,"USD","ATP"
"Huajin Securities Zhuhai Championships",2020-09-28,2020-10-04,1034655,"USD","ATP"
"Sofia Open",2020-09-28,2020-10-04,606350,"EUR","ATP"
"China Open",2020-10-05,2020-10-11,3728800,"USD","ATP"
"Rakuten Japan Open Tennis Championships",2020-10-05,2020-10-11,2108865,"USD","ATP"
"Rolex Shanghai Masters",2020-10-11,2020-10-18,8741630,"USD","ATP"
"VTB Kremlin Cup",2020-10-19,2020-10-25,1056955,"USD","ATP"
"European Open",2020-10-19,2020-10-25,735790,"EUR","ATP"
"Stockholm Open",2020-10-19,2020-10-25,735790,"EUR","ATP"
"Erste Bank Open",2020-10-26,2020-11-01,2490620,"EUR","ATP"
"Swiss Indoors Basel",2020-10-26,2020-11-01,2276790,"EUR","ATP"
"Rolex Paris Masters",2020-11-02,2020-11-08,6168080,"EUR","ATP"
"Next Gen ATP Finals",2020-11-10,2020-11-14,0,"USD","ATP"
"Nitto ATP Finals",2020-11-15,2020-11-22,0,"USD","ATP"
"Davis Cup Finals",2020-11-23,2020-11-29,0,"USD","ATP"
"Shenzhen Open ",2020-01-05,2020-01-11,651750,"USD","WTA"
"ASB Classic 2020 ",2020-01-06,2020-01-12,251750,"USD","WTA"
"Brisbane International ",2020-01-06,2020-01-12,1434900,"USD","WTA"
"Hobart International ",2020-01-13,2020-01-18,251750,"USD","WTA"
"Adelaide International ",2020-01-13,2020-01-18,782900,"USD","WTA"
"Australian Open ",2020-01-20,2020-02-02,22756069,"USD","WTA"
"Oracle Challenger Series ",2020-01-27,2020-02-02,162480,"USD","WTA"
"St. Petersburg Ladies Trophy ",2020-02-10,2020-02-16,782900,"USD","WTA"
"GSB Thailand Open presented by E@ ",2020-02-10,2020-02-16,251750,"USD","WTA"
"Dubai Duty Free Tennis Championships ",2020-02-17,2020-02-22,2643670,"USD","WTA"
"Qatar Total Open 2020 ",2020-02-23,2020-02-29,2939695,"USD","WTA"
"Abierto Mexicano TELCEL presentado por HSBC ",2020-02-24,2020-02-29,251750,"USD","WTA"
"Abierto GNP Seguros ",2020-03-02,2020-03-08,251750,"USD","WTA"
"Open 6ème Sens – Métropole de Lyon, France",2020-03-02,2020-03-08,251750,"USD","WTA"
"Oracle Challenger Series ",2020-03-02,2020-03-08,162480,"USD","WTA"
"BNP Paribas Open ",2020-03-11,2020-03-22,8761725,"USD","WTA"
"Abierto Zapopan 2020 ",2020-03-16,2020-03-21,115000,"USD","WTA"
"Miami Open presented by Itau ",2020-03-24,2020-04-04,8761725,"USD","WTA"
"Copa Colsanitas presentado por Claro ",2020-04-06,2020-04-12,251750,"USD","WTA"
"Volvo Car Open ",2020-04-06,2020-04-12,782900,"USD","WTA"
"Istanbul Open ",2020-04-20,2020-04-26,251750,"USD","WTA"
"Porsche Tennis Grand Prix ",2020-04-20,2020-04-26,820977,"USD","WTA"
"J&T Banka Prague Open ",2020-04-27,2020-05-02,251750,"USD","WTA"
"Mutua Madrid Open ",2020-05-02,2020-05-09,8344977,"USD","WTA"
"Internazionali BNL d'Italia ",2020-05-11,2020-05-17,3227250,"USD","WTA"
"Grand Prix De SAR La Princesse Lalla Meryem ",2020-05-17,2020-05-23,251750,"USD","WTA"
"Internationaux de Strasbourg ",2020-05-17,2020-05-23,251750,"USD","WTA"
"Roland Garros ",2020-05-24,2020-06-06,0,"USD","WTA"
"Croatia Bol Open ",2020-06-01,2020-06-06,115000,"USD","WTA"
