Tournament,title,Type
ASB Classic,ASB Classic,ATP
Australian Open,Australian Open,ATP
Cordoba Open,Cordoba Open,ATP
Open Sud de France,Open Sud de France,ATP
Sofia Open,Sofia Open,ATP
Argentina Open,Argentina Open,ATP
New York Open,New York Open,ATP
ABN AMRO World Tennis Tournament,ABN AMRO World Tennis Tournament,ATP
Delray Beach Open,Delray Beach Open by VITACOST.com,ATP
Open 13,Open 13 Provence,ATP
Rio Open,Rio Open presented by Claro,ATP
Abierto Mexicano,Abierto Mexicano Telcel presentado por HSBC,ATP
BNP Paribas Open,BNP Paribas Open (Suspended),ATP
Grand Prix Hassan II,Grand Prix Hassan II (Suspended),ATP
Hungarian Open,Hungarian Open (Suspended),ATP
Millennium Estoril Open,Millennium Estoril Open (Suspended),ATP
BMW Open,BMW Open by FWU (Suspended),ATP
Mutua Madrid Open,Mutua Madrid Open (Suspended),ATP
Internazionali BNL d'Italia,Internazionali BNL d'Italia (Suspended),ATP
Geneva Open,Geneva Open (Suspended),ATP
Wimbledon,Wimbledon (Suspended),ATP
Croatia Open,Plava Laguna Croatia Open Umag,ATP
BB&T Atlanta Open,BB&T Atlanta Open presented by First Data,ATP
Generali Open,Generali Open,ATP
Citi Open,Citi Open,ATP
US Open,US Open,ATP
St. Petersburg Open,St. Petersburg Open,ATP
Chengdu Open,Chengdu Open,ATP
China Open,China Open,ATP
Rakuten Japan Open Tennis Championships,Rakuten Japan Open Tennis Championships,ATP
Shanghai Masters,Rolex Shanghai Masters,ATP
European Open,European Open,ATP
Kremlin Cup,VTB Kremlin Cup,ATP
Stockholm Open,Stockholm Open,ATP
Swiss Indoors,Swiss Indoors Basel,ATP
Erste Bank Open,Erste Bank Open,ATP
ASB Classic,ASB Classic 2020 ,WTA
Brisbane International,Brisbane International ,WTA
Shenzhen Open,Shenzhen Open ,WTA
Hobart International,Hobart International ,WTA
Australian Open,Australian Open ,WTA
Thailand Open,GSB Thailand Open presented by E@ ,WTA
Ladies Trophy,St. Petersburg Ladies Trophy ,WTA
Qatar Total Open,Qatar Total Open 2020 ,WTA
Dubai Duty Free Tennis Championships,Dubai Duty Free Tennis Championships ,WTA
